,Name,Address,,,
0,"16 Narivanam Salai, mangadu, Chennai, Tamil Nadu, 600122",Chennai Renovation,,,
1,"#10, Uthamar Gandhi Salai, Nungambakkam High Rd, Nungambakkam, Chennai, Tamil Nadu 600034, Chennai, Tamil Nadu, 600034",Olive Lifestyles Construction,,,
2,"MMC, Chennai - 51, Chennai, Tamil Nadu, 600051",GK Shree Constructions,,,
3,"NO:115, DR RADHAKRISHNAN NAGAR, VEPAMPATTU, CHENNAI, Tamil Nadu, 602024",CDC ENGINEERING & CONTRACTS,,,
4,"hanuman colony, injambakkam, chennai, Tamil Nadu, 600115",Skypearl construction private limited,,,
5,"Chennai, Tamil Nadu, 600073",Civil engineer and contractor,,,
6,"36/2, IInd, New Tank Bund Rd, Otteri, Chennai, Tamil Nadu 600012, Chennai, Tamil Nadu, 600012",Jhanvi Housing (P) Ltd,,,
7,"63/18 FIRST FLOOR 10TH AVENEUE ASHOK NAGAR, CHENNAI, Tamil Nadu, 600083",KH CONSTRUCTIONS,,,"Note: I could not find the mobile number on the website, and the websites where the mobile number was avaialable had less than a hundred clients on them."
8,"Chennai, Tamil Nadu, 600087",Aurora Associates,,,
9,"18,Viswa Meena Complex,8th Cross Street,Ram Nagar South, Madipakkam, Chennai, Tamil Nadu, 600091",Wahoo Builders,,,
10,"12A, John Desikar Street, Nanganallur, Chennai-600061, Chennai, Tamil Nadu, 600061",Strucspec,,,
11,"NO.9, KANCHI NAGAR, VINAYAGAPURAM,, CHENNAI, Tamil Nadu, india",CSK BUILDERS AND PROMOTERS,,,
12,"Jupiter Complex, Dr Ranga Road, MYALAPORE, Chennai, India, Tamil Nadu, 600004",Boltz Engineering,,,
13,"94A,NORTH PHASE,SIDCO INDUSTRIAL ESTATE, AMBATTUR,CHENNAI-600098, CHENNAI, Tamil Nadu, 600098",PSR ENTERPRISES,,,
0,"16 Narivanam Salai, mangadu, Chennai, Tamil Nadu, 600122",Chennai Renovation,,,
1,"#10, Uthamar Gandhi Salai, Nungambakkam High Rd, Nungambakkam, Chennai, Tamil Nadu 600034, Chennai, Tamil Nadu, 600034",Olive Lifestyles Construction,,,
2,"MMC, Chennai - 51, Chennai, Tamil Nadu, 600051",GK Shree Constructions,,,
3,"NO:115, DR RADHAKRISHNAN NAGAR, VEPAMPATTU, CHENNAI, Tamil Nadu, 602024",CDC ENGINEERING & CONTRACTS,,,
4,"hanuman colony, injambakkam, chennai, Tamil Nadu, 600115",Skypearl construction private limited,,,
5,"Chennai, Tamil Nadu, 600073",Civil engineer and contractor,,,
6,"36/2, IInd, New Tank Bund Rd, Otteri, Chennai, Tamil Nadu 600012, Chennai, Tamil Nadu, 600012",Jhanvi Housing (P) Ltd,,,
7,"63/18 FIRST FLOOR 10TH AVENEUE ASHOK NAGAR, CHENNAI, Tamil Nadu, 600083",KH CONSTRUCTIONS,,,
8,"Chennai, Tamil Nadu, 600087",Aurora Associates,,,
9,"18,Viswa Meena Complex,8th Cross Street,Ram Nagar South, Madipakkam, Chennai, Tamil Nadu, 600091",Wahoo Builders,,,
10,"12A, John Desikar Street, Nanganallur, Chennai-600061, Chennai, Tamil Nadu, 600061",Strucspec,,,
11,"NO.9, KANCHI NAGAR, VINAYAGAPURAM,, CHENNAI, Tamil Nadu, india",CSK BUILDERS AND PROMOTERS,,,
12,"Jupiter Complex, Dr Ranga Road, MYALAPORE, Chennai, India, Tamil Nadu, 600004",Boltz Engineering,,,
